ticket_id,subject,description,category,priority,timestamp
1001,Export failure,Urgent: PDF export feature not working properly,Bug,High,2024-01-24 13:00:00
1002,File upload error,Cannot upload files larger than 10MB,Bug,High,2024-01-05 10:00:00
1003,Security bug,Password field showing plain text,Bug,High,2024-01-19 15:00:00
1004,Login error,Urgent: Getting error message when trying to login,Bug,High,2024-01-03 12:00:00
1005,File upload error,Cannot upload files larger than 10MB,Bug,Medium,2024-01-20 09:00:00
1006,Security bug,Important: Password field showing plain text. Need quick resolution.,Bug,High,2024-01-23 17:00:00
1007,Payment gateway bug,Urgent: Payment fails with error code 500,Bug,High,2024-01-15 13:00:00
1008,Software crash,Application crashes when clicking save button,Bug,High,2024-01-23 15:00:00
1009,Calendar bug,Wrong dates showing in calendar widget,Bug,Critical,2024-01-05 12:00:00
1010,Calendar bug,Urgent: Wrong dates showing in calendar widget,Bug,High,2024-01-03 15:00:00
1011,Export failure,Important: PDF export feature not working properly. Need quick resolution.,Bug,Critical,2024-01-28 14:00:00
1012,Memory leak,Application memory usage keeps increasing,Bug,Critical,2024-01-26 09:00:00
1013,Report generation,Urgent: Reports show incorrect totals,Bug,Medium,2024-01-04 15:00:00
1014,Database issue,"Cannot connect to database, getting timeout",Bug,Medium,2024-01-10 14:00:00
1015,Browser compatibility,Not working on Safari browser,Bug,High,2024-01-23 10:00:00
1016,Login error,Urgent: Getting error message when trying to login,Bug,Medium,2024-01-08 13:00:00
1017,Database issue,"Cannot connect to database, getting timeout",Bug,High,2024-01-28 10:00:00
1018,Mobile app crash,App crashes on Android when opening settings,Bug,Critical,2024-01-15 14:00:00
1019,Performance issue,Urgent: System running very slow during peak hours,Bug,Critical,2024-01-12 12:00:00
1020,Notification bug,Not receiving email notifications,Bug,Medium,2024-01-30 10:00:00
1021,Bank transfer,Urgent: Bank transfer not reflecting,Billing,Medium,2024-01-18 12:00:00
1022,Tax calculation,Tax amount seems incorrect on bill,Billing,Critical,2024-01-13 13:00:00
1023,Payment history,Cannot see payment history,Billing,Medium,2024-01-22 14:00:00
1024,Payment declined,Urgent: Credit card payment was declined,Billing,Medium,2024-01-27 09:00:00
1025,Discount not applied,Promo code not working,Billing,Critical,2024-01-09 10:00:00
1026,Late fee,Important: Charged late fee but paid on time. Need quick resolution.,Billing,High,2024-01-07 16:00:00
1027,Plan upgrade,Urgent: Charged wrong amount for upgrade,Billing,Critical,2024-01-05 13:00:00
1028,Subscription renewal,Auto-renewal charged incorrectly,Billing,Medium,2024-01-24 17:00:00
1029,Payment history,Cannot see payment history,Billing,High,2024-01-24 15:00:00
1030,Auto-pay issue,Urgent: Auto-payment failed,Billing,Critical,2024-01-12 12:00:00
1031,Subscription renewal,Important: Auto-renewal charged incorrectly. Need quick resolution.,Billing,Critical,2024-01-03 09:00:00
